siteID,year,生物數量,temp,sun,wet,rain
466881,2023,8503,22.13010033,125.0778149,79.94871795,161.9738016
466900,2015,8002,23.125,127.2843023,75.31976744,137.2093023
466900,2016,21443,21.65386997,113.1743034,77.23529412,150.8095975
466900,2017,22515,20.9658427,109.7440449,76.70337079,156.5370787
466900,2018,41780,22.44267835,116.1284105,77.73216521,135.6007509
466900,2019,54852,22.81157703,133.2082042,82.43026436,186.5619872
466900,2020,57077,23.11129178,126.2925926,79.03071364,119.8730804
466900,2021,84340,21.57935887,136.1746677,80.55043002,116.8514464
466900,2022,65239,21.72794118,107.8571324,84.88455882,196.6209559
466900,2023,23593,20.14439701,119.2914621,82.12166489,65.65741729
466910,2015,2740,17.21205674,83.10921986,91.25531915,336.2929078
466910,2016,5173,14.95322581,57.30403226,93.2016129,414.2919355
466910,2017,2496,15.94404762,56.83928571,92.25,669.5535714
466910,2018,3299,16.80813008,86.36178862,91.07317073,449.3691057
466910,2019,3148,16.63395062,73.19876543,91.91975309,448.4123457
466910,2020,3535,15.96933962,55.11037736,92.03773585,570.1287736
466910,2021,5684,15.12832618,76.2776824,95.58798283,338.248927
466910,2022,3842,14.47443946,48.37533632,98.10313901,591.6255605
466910,2023,2415,15.46572581,86.65564516,92.04435484,171.3729839
466920,2015,20185,23.52648276,105.0633103,76.03172414,194.2837241
466920,2016,34350,24.42669349,108.9018109,73.75989269,199.8873239
466920,2017,37329,24.36535983,107.8310956,70.34962406,196.6602578
466920,2018,57167,24.70538253,122.2764726,69.76167908,122.6371022
466920,2019,76831,24.24435404,109.3161489,75.61908284,198.4695266
466920,2020,64540,24.63043285,111.3273252,74.34495006,142.3480577
466920,2021,56772,23.67983129,135.7557004,76.37116564,146.4047802
466920,2022,49158,23.53379291,111.7721159,78.30528981,224.0150535
466920,2023,32922,23.65380518,131.1469178,75.65905632,152.0945586
466930,2015,2983,19.04732143,119.2919643,83.36607143,256.9428571
466930,2016,5757,19.13130435,103.3852174,87.07826087,437.3713043
466930,2017,4017,18.87212389,102.860177,84.10176991,553.119469
466930,2018,6195,19.70729167,135.5330729,82.92447917,285.7598958
466930,2019,5747,18.95595506,112.6026966,85.96179775,379.2705618
466930,2020,11458,18.21647819,104.3907916,87.62358643,407.312601
466930,2021,5390,18.46479401,123.2509363,87.97003745,260.5252809
466930,2022,6130,18.03207071,101.3005051,91.79040404,464.6035354
466930,2023,3769,18.758,114.8932,88.944,149.966
466940,2015,1201,23.94130435,108.2384058,76.47101449,297.9028986
466940,2016,874,23.18888889,93.5010101,80.1010101,365.7252525
466940,2017,723,23.22391304,102.8423913,73.9673913,316.423913
466940,2018,916,24.23592233,121.5718447,73.72815534,289.8368932
466940,2019,1488,23.94322917,111.0661458,76.63020833,308.5770833
466940,2020,1838,22.94331797,98.33963134,80.37327189,340.1543779
466940,2021,3013,22.18319672,109.3709016,85.00819672,246.4282787
466940,2022,947,22.94965035,108.9398601,81.58041958,360.4230769
466940,2023,1412,22.48867925,126.5990566,79.35849057,172.8254717
466950,2016,6,26.7,165.3,83,304.1
466990,2015,9387,24.37430168,135.9854749,80.81005587,208.4698324
466990,2016,10378,23.61582492,125.4205387,79.91582492,202.5420875
466990,2017,12666,22.83367876,110.8888601,76.00259067,130.5564767
466990,2018,13529,23.75868347,138.7803922,76.18627451,114.5
466990,2019,13976,23.67673179,113.8632327,76.90408526,132.6216696
466990,2020,29259,23.86305419,114.7071921,78.29359606,109.2256158
466990,2021,27182,23.30667808,133.2383562,80.12842466,113.2320205
466990,2022,17908,23.31888745,116.2084088,81.86157827,161.2089263
466990,2023,17723,23.05504762,127.0779048,82.17333333,174.9647619
467050,2015,3105,23.63857143,144.9092857,80.09285714,109.4242857
467050,2016,8866,20.38238095,109.7133333,80.98571429,159.3852381
467050,2017,8403,22.83461538,147.2181319,78.65384615,87.91923077
467050,2018,54101,22.17561267,142.4741781,80.07172744,90.43861327
467050,2019,88293,22.33344435,140.0318068,78.26477935,154.2736608
467050,2020,59153,23.20238636,156.3123864,81.24734848,106.8984091
467050,2021,36115,23.48416107,180.6031767,80.76331096,98.24720358
467050,2022,35638,22.71202595,148.2613273,85.98752495,160.7836826
467050,2023,12287,20.87615148,140.2446264,86.28556807,118.4810645
467080,2015,18760,22.46019656,112.7717445,80.43980344,218.012285
467080,2016,20298,22.23651116,101.210142,81.07707911,242.0008114
467080,2017,16745,21.14125,87.331875,80.39375,269.864375
467080,2018,39616,22.89864757,121.0834527,78.45743835,212.0672235
467080,2019,52600,22.96546978,101.998863,81.42070616,223.1546379
467080,2020,64520,23.09742268,103.9091237,80.59536082,268.1440206
467080,2021,78926,22.08380463,123.9508569,84.42159383,149.4940017
467080,2022,67792,21.90442478,96.65989541,89.52413516,329.6749799
467080,2023,27088,21.7556338,105.8119014,88.29647887,115.9830986
467110,2015,4232,19.22835052,127.1556701,71.23195876,119.6427835
467110,2016,10225,22.2465313,140.5622673,78.36379019,138.5076142
467110,2017,15870,19.98042929,162.2426768,70.64772727,52.35757576
467110,2018,22075,22.04943117,174.9556883,74.78213879,70.33054608
467110,2019,24157,22.46002964,164.5197134,73.79199605,64.53843874
467110,2020,22896,22.41265509,167.3473945,72.3207196,39.03424318
467110,2021,23686,20.6989657,201.4267284,76.35547088,33.87452368
467110,2022,21515,20.80053277,171.6277571,81.31060202,79.12946191
467110,2023,7029,19.48102493,148.1578947,80.8365651,70.98961219
467300,2015,21,27.78888889,206.9222222,80.66666667,351.9222222
467300,2016,58,24,163.7,80,142.8
467300,2017,36,29.45,260.35,80.75,197
467300,2018,180,27.15,212.34,79.7,34.78
467300,2019,3366,27.35185185,193.42,71.45185185,87.10518519
467300,2020,4861,26.54691011,218.858427,77.70786517,82.72134831
467300,2021,2472,23.18022599,208.5920904,85.74576271,27.06497175
467300,2022,8615,26.23744856,208.9679012,83.98353909,66.76440329
467300,2023,890,28.68,252.1,86.2,131.2
467350,2015,411,25.12941176,167.2882353,77.35294118,65.6
467350,2016,146,24.36923077,166.1230769,81.92307692,186.6
467350,2017,160,27.27857143,223.1428571,77.85714286,187.0071429
467350,2018,2042,27.17884615,202.7403846,80.32692308,16.82980769
467350,2019,1106,25.6125,184.9347222,82.375,68.75972222
467350,2020,2066,22.49861111,161.7097222,80.09722222,27.64861111
467350,2021,1233,22.74901961,179.0960784,82.01960784,51.65686275
467350,2022,866,26.844,217.4213333,84.66666667,92.72666667
467350,2023,452,27.32241379,221.362069,84.34482759,199.1637931
467410,2015,11470,24.89670782,206.0946502,75.76954733,115.2979424
467410,2016,12218,25.37466667,186.881,76.92666667,199.0023333
467410,2017,10079,23.83679245,194.2248428,72.66352201,72.1927673
467410,2018,18804,26.32149533,234.1971443,71.10280374,131.7459502
467410,2019,9245,23.97537438,184.6540765,74.69384359,106.4637271
467410,2020,15587,24.18575458,216.8253879,73.3751763,122.5933709
467410,2021,10151,23.20157729,212.3793375,74.61829653,102.0764984
467410,2022,16967,24.26831461,188.714382,76.68651685,60.81067416
467410,2023,8093,23.28882175,221.3222054,73.54833837,20.81117825
467441,2022,42018,24.40871886,179.6477313,80.94795374,71.06539146
467441,2023,20160,24.03972713,218.2613162,76.64606742,73.59269663
467480,2015,16261,23.61096964,184.4280118,77.70617042,123.1302644
467480,2016,26324,24.83968254,168.6557044,80.58035714,131.7749008
