longitude,latitude,altitude,landUse
121.1191978,22.7492459,23.53576851,建築利用土地
121.5398866,25.0173093,7.415567398,公共利用土地
120.2529973,22.8207861,9.587913513,其他利用土地
121.698124,24.746127,15.11986446,交通利用土地
121.4759932,25.130068,-0.143093958,交通利用土地
120.12027,23.32382,1.450739264,其他利用土地
121.5058537,25.1110077,-1.748096347,農業利用土地
120.994726,23.978672,491.2045593,交通利用土地
120.530963,22.6126676,17.08740807,其他利用土地
120.41372,22.5031373,2.899658918,建築利用土地
121.5873841,24.9673158,303.2211304,交通利用土地
120.951105,24.011496,487.9518738,交通利用土地
120.1519532,23.3424896,-0.249969482,水利利用土地
121.6293617,25.0684426,9.669923782,建築利用土地
120.4710037,23.6748938,32.71694183,建築利用土地
121.080575,23.999845,695.3701782,交通利用土地
121.522622,25.109363,8.121632576,交通利用土地
120.1103818,23.2358648,1.709251761,其他利用土地
120.5269867,23.8303583,40.20015335,森林利用土地
121.4489776,24.9905017,7.787535191,水利利用土地
120.6037765,24.1795688,147.2865448,公共利用土地
120.4667787,23.4604434,34.72018051,遊憩利用土地
120.9655602,23.9705955,446.7704468,建築利用土地
121.2110193,25.059199,29.01535034,交通利用土地
120.786217,23.826675,229.6767578,公共利用土地
120.7232952,22.0303008,9.950529099,農業利用土地
120.2996229,22.93285,25.85008049,交通利用土地
121.5693,25.0428,5.105805397,遊憩利用土地
120.309932,23.256003,13.59167767,農業利用土地
120.3131407,23.2751142,10.8313036,交通利用土地
121.260674,23.301788,200.7087402,交通利用土地
121.2511289,25.0750714,32.77845383,其他利用土地
120.92179,24.8409,7.429743767,森林利用土地
120.315121,22.553703,1.020503521,交通利用土地
120.589419,23.3019602,230.755188,遊憩利用土地
120.5657317,22.649885,32.79032898,農業利用土地
121.508256,23.854035,38.74881363,交通利用土地
120.56192,24.3386,6.628740788,水利利用土地
120.693412,23.269599,941.1559448,交通利用土地
120.1926123,23.7264554,2.522942543,水利利用土地
121.6522121,25.0629371,7.989835739,其他利用土地
120.1357877,23.5004231,0.768403351,森林利用土地
121.287571,24.893106,74.92519379,遊憩利用土地
120.726642,24.1200864,81.65027618,水利利用土地
120.43025,23.4191849,30.23802567,交通利用土地
120.1542172,23.4601511,0.493122131,公共利用土地
120.2861255,22.6463138,10.57499981,遊憩利用土地
